Script started on Sun 19 Apr 2009 12:59:41 PM MDT
]0;bdale@rover: ~/src/keithp/altosbdale@rover:~/src/keithp/altos$ cu -l /dev/ttyACM0 
Connected.

> l
F 5657 0000 0003
A 5762 3f60 4694
A 5763 3f84 46a4
A 5764 3f60 468c
A 5765 3f68 4698
A 5766 3f6c 4684
A 5767 3f68 468c
A 5768 3f64 4678
A 5769 3f70 4684
A 576a 3f68 467c
A 576b 3f54 467c
A 576c 3f5c 4670
A 576d 3f50 4670
A 576e 3f6c 4670
A 576f 3f68 4664
A 5770 3f58 4668
A 5771 3f60 465c
A 5772 3f74 4658
A 5773 3f54 464c
A 5774 3f5c 4660
A 5775 3f60 4648
A 5776 3f60 4654
A 5777 3f50 463c
A 5778 3f54 4650
A 5779 3f50 463c
A 577a 3f4c 4648
A 577b 3f5c 4630
A 577c 3f50 4634
A 577d 3f5c 4628
A 577e 3f60 462c
A 577f 3f54 4624
A 5780 3f58 4620
A 5781 3f5c 4620
T 5781 19ec 60a0
D 5781 085c 0008
A 5782 3f58 4620
A 5783 3f5c 461c
A 5784 3f68 4618
A 5785 3f58 4614
A 5786 3f54 4608
A 5787 3f74 4608
A 5788 3f54 4604
A 5789 3f5c 4604
A 578a 3f48 45fc
A 578b 3f6c 45f4
A 578c 3f5c 45f8
A 578d 3f4c 45f4
A 578e 3f64 45f0
A 578f 3f38 45e4
A 5790 3f5c 45dc
A 5791 3f48 45dc
A 5792 3f50 45d8
A 5793 3f4c 45d8
A 5794 3f54 45d4
A 5795 3f58 45d0
A 5796 3f54 45d4
A 5797 3f4c 45c8
A 5798 3f50 45c8
A 5799 3f60 45c0
A 579a 3f58 45b8
A 579b 3f64 45b0
A 579c 3f50 45b8
A 579d 3f54 45ac
A 579e 3f4c 45b8
A 579f 3f50 45a0
A 57a0 3f54 45a8
A 57a1 3f58 459c
A 57a2 3f44 45a8
A 57a3 3f6c 4594
A 57a4 3f54 459c
A 57a5 3f5c 458c
A 57a6 3f58 4590
A 57a7 3f6c 4584
A 57a8 3f54 4590
A 57a9 3f54 457c
A 57aa 3f54 4580
A 57ab 3f4c 4578
A 57ac 3f48 4578
A 57ad 3f54 4574
A 57ae 3f44 4574
A 57af 3f5c 4568
A 57b0 3f54 4568
A 57b1 3f5c 4564
A 57b2 3f58 4568
A 57b3 3f54 4558
A 57b4 3f4c 455c
A 57b5 3f50 4554
A 57b6 3f44 4554
A 57b7 3f4c 454c
A 57b8 3f44 4550
A 57b9 3f4c 4548
A 57ba 3f4c 453c
A 57bb 3f4c 4534
A 57bc 3f40 4538
A 57bd 3f60 4530
A 57be 3f4c 4530
A 57bf 3f48 452c
A 57c0 3f4c 4534
A 57c1 3f3c 4524
A 57c2 3f44 452c
A 57c3 3f40 451c
A 57c4 3f40 451c
A 57c5 3f38 450c
A 57c6 3f4c 451c
A 57c7 3f4c 4508
A 57c8 3f58 4514
A 57c9 3f34 4504
A 57ca 3f4c 450c
A 57cb 3f4c 44f8
A 57cc 3f50 4504
A 57cd 3f38 44f8
A 57ce 3f54 44fc
A 57cf 3f3c 44e4
A 57d0 3f40 44e8
A 57d1 3f44 44f0
A 57d2 3f44 44e4
A 57d3 3f4c 44e4
A 57d4 3f38 44dc
A 57d5 3f2c 44e8
A 57d6 3f3c 44d0
A 57d7 3f38 44dc
A 57d8 3f44 44c4
A 57d9 3f44 44d4
A 57da 3f34 44bc
A 57db 3f44 44d4
A 57dc 3f48 44b4
A 57dd 3f3c 44c4
A 57de 3f38 44b0
A 57df 3f34 44c0
A 57e0 3f48 44ac
A 57e1 3f3c 44bc
A 57e2 3f40 44a8
A 57e3 3f30 44ac
A 57e4 3f34 44a4
A 57e5 3f3c 44a4
A 57e6 3f28 44a4
A 57e7 3f34 4498
A 57e8 3f3c 449c
A 57e9 3f40 448c
A 57ea 3f40 4498
A 57eb 3f30 4488
A 57ec 3f3c 4494
A 57ed 3f34 4478
A 57ee 3f40 448c
A 57ef 3f44 4470
A 57f0 3f40 4484
A 57f1 3f44 4470
A 57f2 3f34 4478
A 57f3 3f34 446c
A 57f4 3f34 4474
A 57f5 3f44 446c
A 57f6 3f40 4470
A 57f7 3f2c 445c
A 57f8 3f38 445c
A 57f9 3f44 4458
A 57fa 3f38 445c
A 57fb 3f30 4458
A 57fc 3f38 444c
A 57fd 3f40 4450
A 57fe 3f34 4450
A 57ff 3f34 4448
A 5800 3f44 4444
A 5801 3f38 4444
T 5801 19f0 60a4
D 5801 0860 0008
A 5802 3f3c 4438
A 5803 3f3c 4430
A 5804 3f38 443c
A 5805 3f34 4438
A 5806 3f40 442c
A 5807 3f3c 4428
A 5808 3f34 442c
A 5809 3f40 4424
A 580a 3f44 4428
A 580b 3f48 4420
A 580c 3f34 4414
A 580d 3f24 4410
A 580e 3f38 4414
A 580f 3f2c 4410
A 5810 3f30 440c
A 5811 3f2c 4408
A 5812 3f2c 4404
A 5813 3f20 440c
A 5814 3f30 43fc
A 5815 3f40 4408
A 5816 3f44 43f0
A 5817 3f3c 43f8
A 5818 3f2c 43e8
A 5819 3f50 43fc
A 581a 3f44 43e4
A 581b 3f40 43ec
A 581c 3f24 43e0
A 581d 3f30 43e8
A 581e 3f28 43d8
A 581f 3f38 43e4
A 5820 3f34 43d0
A 5821 3f3c 43d4
A 5822 3f30 43cc
A 5823 3f1c 43cc
A 5824 3f3c 43c8
A 5825 3f44 43c8
A 5826 3f48 43c8
A 5827 3f34 43c0
A 5828 3f38 43bc
A 5829 3f44 43c0
A 582a 3f30 43bc
A 582b 3f34 43b4
A 582c 3f4c 43b4
A 582d 3f34 43b0
A 582e 3f34 43ac
A 582f 3f24 43a4
A 5830 3f34 43a0
A 5831 3f1c 43a4
A 5832 3f38 43a0
A 5833 3f48 439c
A 5834 3f30 439c
A 5835 3f38 4390
A 5836 3f34 438c
A 5837 3f24 438c
A 5838 3f28 4388
A 5839 3f2c 4388
A 583a 3f34 4384
A 583b 3f30 4380
A 583c 3f44 4384
A 583d 3f28 4380
A 583e 3f34 4378
A 583f 3f14 4378
A 5840 3f14 4368
A 5841 3f28 436c
A 5842 3f1c 436c
A 5843 3f3c 436c
A 5844 3f20 4364
A 5845 3f24 4364
A 5846 3f30 435c
A 5847 3f20 4360
A 5848 3f24 435c
A 5849 3f20 4358
A 584a 3f20 4354
A 584b 3f1c 434c
A 584c 3f24 4350
A 584d 3f1c 4348
A 584e 3f28 4344
A 584f 3f10 4344
A 5850 3f10 4340
A 5851 3f14 4340
A 5852 3f20 433c
A 5853 3f10 4338
A 5854 3f14 4334
A 5855 3f18 4328
A 5856 3f24 4328
A 5857 3ef4 432c
A 5858 3f18 4328
A 5859 3f30 4328
A 585a 3f24 4320
A 585b 3f24 4320
A 585c 3f34 4324
A 585d 3f20 431c
A 585e 3f20 4314
A 585f 3f1c 4310
A 5860 3f1c 430c
A 5861 3f18 4310
A 5862 3f1c 430c
A 5863 3f24 430c
A 5864 3f18 4300
A 5865 3f08 4300
A 5866 3f2c 42f8
A 5867 3f14 42fc
A 5868 3f28 42f4
A 5869 3f20 42f8
A 586a 3f20 42ec
A 586b 3f0c 42ec
A 586c 3f2c 42e8
A 586d 3f14 42e8
A 586e 3efc 42e4
A 586f 3f10 42e0
A 5870 3f1c 42e0
A 5871 3f10 42e4
A 5872 3f18 42dc
A 5873 3f3c 42d4
A 5874 3f30 42d4
A 5875 3f14 42cc
A 5876 3f04 42d4
A 5877 3f18 42d0
A 5878 3f18 42c8
A 5879 3f0c 42c4
A 587a 3f2c 42c4
A 587b 3f1c 42c0
A 587c 3f24 42bc
A 587d 3f00 42b8
A 587e 3f1c 42b4
A 587f 3f14 42b4
A 5880 3f1c 42b0
A 5881 3f28 42b0
T 5881 19f0 60a8
D 5881 0860 0004
A 5882 3f08 42ac
A 5883 3f18 42a8
A 5884 3f08 42a4
A 5885 3f0c 42a8
A 5886 3f1c 42a4
A 5887 3f24 4298
A 5888 3f10 4290
A 5889 3f00 4290
A 588a 3f0c 4290
A 588b 3ef8 4294
A 588c 3f10 4290
A 588d 3efc 428c
A 588e 3f10 4288
A 588f 3f00 4284
A 5890 3f24 4284
A 5891 3f14 4284
A 5892 3f14 4280
A 5893 3f2c 4278
A 5894 3f18 4274
A 5895 3f00 427c
A 5896 3f10 4274
A 5897 3f10 4270
A 5898 3f04 4268
A 5899 3ef8 4270
A 589a 3f20 4270
A 589b 3f24 4268
A 589c 3f14 425c
A 589d 3f1c 4258
A 589e 3f0c 4258
A 589f 3f10 425c
A 58a0 3f2c 4260
A 58a1 3f0c 4254
A 58a2 3f04 4250
A 58a3 3efc 424c
A 58a4 3f00 4248
A 58a5 3f08 424c
A 58a6 3f04 4248
A 58a7 3f04 4240
A 58a8 3f0c 4238
A 58a9 3f08 423c
A 58aa 3f14 423c
A 58ab 3f04 4238
A 58ac 3f08 4234
A 58ad 3f00 4230
A 58ae 3f0c 4230
A 58af 3f04 422c
A 58b0 3f04 4230
A 58b1 3f0c 422c
A 58b2 3f04 4220
A 58b3 3f08 4224
A 58b4 3f0c 4220
A 58b5 3f00 4220
A 58b6 3f04 421c
A 58b7 3ef4 4214
A 58b8 3f14 4218
A 58b9 3f1c 421c
A 58ba 3f18 4214
A 58bb 3f14 4214
A 58bc 3f04 4208
A 58bd 3f04 4200
A 58be 3f14 420c
A 58bf 3f10 4208
A 58c0 3f00 41fc
A 58c1 3f00 41fc
A 58c2 3f00 41fc
A 58c3 3ef8 41fc
A 58c4 3f0c 41f8
A 58c5 3f1c 41f4
A 58c6 3f0c 41ec
A 58c7 3f08 41ec
A 58c8 3f04 41ec
A 58c9 3f10 41e8
A 58ca 3f04 41e4
A 58cb 3ef4 41e8
A 58cc 3ef8 41e4
A 58cd 3f14 41dc
A 58ce 3f08 41dc
A 58cf 3f04 41e0
A 58d0 3f08 41d8
A 58d1 3f00 41d4
A 58d2 3f04 41d0
A 58d3 3ef0 41cc
A 58d4 3efc 41d4
A 58d5 3f0c 41c8
A 58d6 3f04 41c8
A 58d7 3f0c 41cc
A 58d8 3f0c 41c0
A 58d9 3f14 41c4
A 58da 3f00 41c0
A 58db 3efc 41b4
A 58dc 3f08 41b4
A 58dd 3f04 41b8
A 58de 3f10 41b8
A 58df 3ef8 41b0
A 58e0 3ef8 41b0
A 58e1 3ef4 41ac
A 58e2 3f00 41b0
A 58e3 3ef0 41a8
A 58e4 3f04 41a4
A 58e5 3f08 419c
A 58e6 3ef8 4198
A 58e7 3f10 419c
A 58e8 3ef4 41a0
A 58e9 3ef8 4198
A 58ea 3ef8 4198
A 58eb 3eec 4190
A 58ec 3ef0 418c
A 58ed 3ef4 418c
A 58ee 3efc 4188
A 58ef 3ef4 4184
A 58f0 3efc 4180
A 58f1 3efc 4180
A 58f2 3f00 4180
A 58f3 3f04 4184
A 58f4 3ef4 417c
A 58f5 3ef8 4178
A 58f6 3ef0 417c
A 58f7 3ef8 4178
A 58f8 3f08 4174
A 58f9 3f00 4170
A 58fa 3efc 4168
A 58fb 3efc 4168
A 58fc 3ef8 4168
A 58fd 3f20 416c
A 58fe 3f00 4164
A 58ff 3f04 4160
A 5900 3f04 415c
A 5901 3f0c 415c
T 5901 19f0 60a0
D 5901 0860 0004
A 5902 3f08 415c
A 5903 3f00 415c
A 5904 3f08 4154
A 5905 3f04 414c
A 5906 3efc 4154
A 5907 3f10 4150
A 5908 3f00 4154
A 5909 3ef4 4148
A 590a 3ee4 4144
A 590b 3ee4 4140
A 590c 3ef8 4140
A 590d 3ef8 4144
A 590e 3ee8 413c
A 590f 3f00 4130
A 5910 3ee8 4134
A 5911 3ef4 413c
A 5912 3ef4 4134
A 5913 3efc 4130
A 5914 3ee0 4130
A 5915 3ee4 412c
A 5916 3eec 4130
A 5917 3ef4 4128
A 5918 3ee4 4124
A 5919 3efc 411c
A 591a 3ef8 4124
A 591b 3efc 4124
A 591c 3ef8 411c
A 591d 3ef0 4118
A 591e 3ef0 4114
A 591f 3eec 4118
A 5920 3f00 410c
A 5921 3eec 4118
A 5922 3edc 410c
A 5923 3ee0 410c
A 5924 3ef4 4108
A 5925 3ee4 4108
A 5926 3ef0 4108
A 5927 3eec 4100
A 5928 3edc 4100
A 5929 3eec 40fc
A 592a 3ef0 40fc
A 592b 3ef8 40fc
A 592c 3efc 40f8
A 592d 3ee8 40f4
A 592e 3ef0 40ec
A 592f 3ef4 40f4
A 5930 3ee8 40f0
A 5931 3ee4 40f0
A 5932 3ef4 40e4
A 5933 3ed8 40e8
A 5934 3ee4 40e4
A 5935 3ee8 40e4
A 5936 3ef0 40e8
A 5937 3ee4 40e0
A 5938 3ee8 40dc
A 5939 3ef4 40dc
A 593a 3ee0 40dc
A 593b 3ef8 40dc
A 593c 3ef4 40cc
A 593d 3ed8 40d4
A 593e 3ef0 40d0
A 593f 3f00 40d4
A 5940 3ee8 40cc
A 5941 3edc 40cc
A 5942 3ef4 40c4
A 5943 3f10 40c8
A 5944 3ef8 40c0
A 5945 3eec 40c4
A 5946 3ed4 40bc
A 5947 3ef8 40bc
A 5948 3ee0 40c0
A 5949 3ee4 40b8
A 594a 3ef4 40b8
A 594b 3ef0 40b4
A 594c 3eec 40ac
A 594d 3ecc 40ac
A 594e 3ef0 40ac
A 594f 3edc 40b0
A 5950 3ef8 40a4
A 5951 3ee8 40a8
A 5952 3ef0 40a4
A 5953 3edc 40a0
A 5954 3ee4 409c
A 5955 3edc 40a0
A 5956 3eec 40a0
A 5957 3edc 4098
A 5958 3ee0 4098
A 5959 3ef0 4094
A 595a 3ee8 4098
A 595b 3ee4 4094
A 595c 3ed8 408c
A 595d 3ee0 4090
A 595e 3ee4 4090
A 595f 3ee8 408c
A 5960 3ef4 4084
A 5961 3edc 4080
A 5962 3ee8 4080
A 5963 3eec 407c
A 5964 3ee0 4080
A 5965 3ee4 407c
A 5966 3ed8 407c
A 5967 3ef0 4078
A 5968 3efc 4074
A 5969 3eec 4074
A 596a 3efc 4078
A 596b 3ef0 406c
A 596c 3ee8 4068
A 596d 3ee0 4060
A 596e 3eec 406c
A 596f 3ef8 4068
A 5970 3ee4 4064
A 5971 3eec 4064
A 5972 3ee8 4068
A 5973 3ee8 405c
A 5974 3ee8 4060
A 5975 3eec 405c
A 5976 3ee0 4058
A 5977 3ef0 4050
A 5978 3ee8 4058
A 5979 3ee4 4050
A 597a 3ee0 405c
A 597b 3eec 4050
A 597c 3ee4 4050
A 597d 3ed8 404c
A 597e 3ee8 4050
A 597f 3ee8 404c
A 5980 3ee4 4044
A 5981 3eec 4040
T 5981 19f0 60a0
D 5981 085c 0008
A 5982 3ed8 4044
A 5983 3eec 4044
A 5984 3ef4 4044
A 5985 3f00 403c
A 5986 3ee4 403c
A 5987 3ee4 4038
A 5988 3ef4 4040
A 5989 3ee4 4030
A 598a 3ee4 4030
A 598b 3ee4 402c
A 598c 3eec 402c
A 598d 3eec 4034
A 598e 3ef0 4030
A 598f 3eec 4024
A 5990 3ed0 4028
A 5991 3ef8 402c
A 5992 3ee8 4024
A 5993 3ef0 4020
A 5994 3ee0 4018
A 5995 3ee0 4018
A 5996 3edc 4018
A 5997 3eec 4018
A 5998 3ee8 4018
A 5999 3ee0 4014
A 599a 3ef0 4014
A 599b 3ed8 4010
A 599c 3ee8 400c
A 599d 3ee0 4010
A 599e 3ee4 400c
A 599f 3ee0 4004
A 59a0 3ee8 4000
A 59a1 3ee0 4004
A 59a2 3ef4 4008
A 59a3 3ee4 4004
A 59a4 3eec 4000
A 59a5 3edc 3ffc
A 59a6 3ee8 3ffc
A 59a7 3ef4 3ff8
A 59a8 3ee8 3ffc
A 59a9 3edc 3ff8
A 59aa 3eec 3ff0
A 59ab 3ee0 3fec
A 59ac 3ee8 3ff4
A 59ad 3ee0 3fec
A 59ae 3edc 3fec
A 59af 3ee8 3fe8
A 59b0 3ee0 3fe8
A 59b1 3ed8 3fe4
A 59b2 3ee8 3fe4
A 59b3 3ed4 3fe4
A 59b4 3ee8 3fe0
A 59b5 3ef0 3fd8
A 59b6 3eec 3fdc
A 59b7 3ee8 3fd8
A 59b8 3ed0 3fd4
A 59b9 3eec 3fd8
A 59ba 3ed0 3fd8
A 59bb 3ed8 3fd4
A 59bc 3ee0 3fd4
A 59bd 3ee4 3fd0
A 59be 3ee4 3fc8
A 59bf 3ed8 3fcc
A 59c0 3ecc 3fcc
A 59c1 3ed8 3fc8
A 59c2 3edc 3fcc
A 59c3 3ee0 3fc4
A 59c4 3edc 3fc0
A 59c5 3ec8 3fc8
A 59c6 3ef0 3fc0
A 59c7 3ed8 3fc0
A 59c8 3ee0 3fb8
A 59c9 3ed8 3fb8
A 59ca 3ee8 3fb8
A 59cb 3ed0 3fb8
A 59cc 3ee8 3fb4
A 59cd 3ed0 3fb4
A 59ce 3edc 3fb0
A 59cf 3edc 3fb0
A 59d0 3ee0 3fb0
A 59d1 3ed8 3fb0
A 59d2 3ed0 3fac
A 59d3 3ed4 3fac
A 59d4 3eec 3fa4
A 59d5 3edc 3fa4
A 59d6 3ed8 3fa8
A 59d7 3ecc 3fa4
A 59d8 3ecc 3fa4
A 59d9 3ecc 3fa4
A 59da 3eec 3fa4
A 59db 3eec 3fa4
A 59dc 3ef0 3fa0
A 59dd 3edc 3f9c
A 59de 3ee0 3f94
A 59df 3ee0 3f94
A 59e0 3ee4 3f98
A 59e1 3eec 3f94
A 59e2 3ec8 3f94
A 59e3 3ed8 3f90
A 59e4 3ed8 3f90
A 59e5 3ef0 3f90
A 59e6 3ee8 3f90
A 59e7 3ee0 3f88
A 59e8 3ef0 3f84
A 59e9 3ee0 3f84
A 59ea 3ee0 3f88
A 59eb 3ed8 3f84
A 59ec 3edc 3f80
A 59ed 3ed4 3f7c
A 59ee 3edc 3f7c
A 59ef 3ee4 3f84
A 59f0 3ed4 3f7c
A 59f1 3ee8 3f78
A 59f2 3ed4 3f70
A 59f3 3ee4 3f70
A 59f4 3eec 3f74
A 59f5 3ee0 3f74
A 59f6 3edc 3f70
A 59f7 3ee4 3f70
A 59f8 3ec4 3f70
A 59f9 3ef0 3f6c
A 59fa 3ee0 3f70
A 59fb 3ecc 3f6c
A 59fc 3eec 3f68
A 59fd 3ed4 3f60
A 59fe 3ecc 3f64
A 59ff 3ec8 3f68
A 5a00 3ef4 3f60
A 5a01 3ed8 3f64
